rank,edge_idx,neuron_i_local,neuron_j_local,neuron_i_global,neuron_j_global,layer_i,layer_j,layer_pair,strength_decile,corr_mean,edge_importance,edge_importance_raw
1,11595,76,82,76,82,DepthLow,DepthLow,DepthLow--DepthLow,10,0.9217383861933565,0.000438519897079277,0.01786580590060928
2,2215,12,14,12,14,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.8639251005845707,0.0004287907605485018,0.017469429667747186
3,11682,76,169,76,169,DepthLow,DepthLow,DepthLow--DepthLow,10,0.8573387966223058,0.0004276292546585782,0.01742210857942257
4,8670,52,169,52,169,DepthHigh,DepthLow,DepthHigh--DepthLow,10,0.41863593596317933,0.0003915605699541431,0.015952628803677718
5,18069,178,181,178,181,DepthLow,DepthLow,DepthLow--DepthLow,10,0.6948841644007064,0.0003798908026217435,0.015477189035825564
6,8807,53,169,53,169,DepthHigh,DepthLow,DepthHigh--DepthLow,10,0.40842645653720844,0.0003694921136574458,0.015053534465316154
7,8720,53,82,53,82,DepthHigh,DepthLow,DepthHigh--DepthLow,10,0.42486430221403865,0.0003541254470308291,0.014427478760389105
8,12345,82,169,82,169,DepthLow,DepthLow,DepthLow--DepthLow,10,0.9193303038040753,0.0003466908767351129,0.014124585799904605
9,15064,112,113,112,113,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.795109243725694,0.00033244070353425313,0.013544017323645479
10,17595,157,169,157,169,DepthMid,DepthLow,DepthLow--DepthMid,10,0.39448016503293315,0.0003298530752730704,0.013438594366636839
11,12333,82,157,82,157,DepthLow,DepthMid,DepthLow--DepthMid,10,0.40578319219317527,0.0003219731463190351,0.013117556981238714
12,2035,11,12,11,12,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.9079528597432072,0.0003195508755734718,0.013018870879953019
13,18124,184,185,184,185,DepthMid,DepthMid,DepthMid--DepthMid,10,0.9311506259814863,0.0003124013353389549,0.012727590372593547
14,2581,14,27,14,27,DepthHigh,DepthLow,DepthHigh--DepthLow,10,0.32534020915502715,0.00031169185568382556,0.012698685353931006
15,11697,76,184,76,184,DepthLow,DepthMid,DepthLow--DepthMid,10,0.29950558578324055,0.0003088292820736114,0.012582060806591374
16,8795,53,157,53,157,DepthHigh,DepthMid,DepthHigh--DepthMid,10,0.38658424275457987,0.00030697518245671886,0.012506522651774632
17,18110,182,184,182,184,DepthMid,DepthMid,DepthMid--DepthMid,10,0.8545790993605632,0.00030693661114564543,0.012504951212116911
18,18111,182,185,182,185,DepthMid,DepthMid,DepthMid--DepthMid,10,0.8953419421632026,0.0003059155117900263,0.012463350447786186
19,17613,157,187,157,187,DepthMid,DepthMid,DepthMid--DepthMid,10,0.2894230069946956,0.00029764232578128913,0.012126291316840954
20,12360,82,184,82,184,DepthLow,DepthMid,DepthLow--DepthMid,9,0.25437197296617475,0.0002970778886216441,0.012103295496572651
21,18080,179,181,179,181,DepthLow,DepthLow,DepthLow--DepthLow,10,0.8334397834431806,0.0002945818915277993,0.012001605698905262
22,8692,53,54,53,54,DepthHigh,DepthLow,DepthHigh--DepthLow,8,0.21251479229806566,0.00029358213330364993,0.011960874396861373
23,9596,59,157,59,157,DepthMid,DepthMid,DepthMid--DepthMid,5,0.15277154789495095,0.000290400060205849,0.011831233072247581
24,5589,32,38,32,38,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.920732817087481,0.00028939092029548987,0.011790119549497265
25,6682,39,53,39,53,DepthMid,DepthHigh,DepthHigh--DepthMid,8,0.21005155600544156,0.00028719623535945077,0.011700705556332031
26,9515,59,76,59,76,DepthMid,DepthLow,DepthLow--DepthMid,9,0.25605430315050476,0.00028541714496931124,0.011628223363844137
27,18090,180,181,180,181,DepthLow,DepthLow,DepthLow--DepthLow,10,0.889936742445849,0.00028503995977083486,0.01161285640423878
28,11670,76,157,76,157,DepthLow,DepthMid,DepthLow--DepthMid,10,0.37245351299706875,0.00028358699526937533,0.011553660956240993
29,9521,59,82,59,82,DepthMid,DepthLow,DepthLow--DepthMid,10,0.2788482986946921,0.0002758482761578645,0.011238376622539271
30,8856,54,82,54,82,DepthLow,DepthLow,DepthLow--DepthLow,9,0.24141512597670736,0.00027570230585227483,0.01123242962409225
31,6681,39,52,39,52,DepthMid,DepthHigh,DepthHigh--DepthMid,6,0.17670320381986898,0.0002753632691245489,0.011218616877142632
32,8820,53,182,53,182,DepthHigh,DepthMid,DepthHigh--DepthMid,8,0.2270177548105578,0.0002740115258431545,0.011163545298284536
33,9608,59,169,59,169,DepthMid,DepthLow,DepthLow--DepthMid,10,0.2763227438727107,0.0002732280221284258,0.011131624454138168
34,8943,54,169,54,169,DepthLow,DepthLow,DepthLow--DepthLow,10,0.2809136399874747,0.00027201416699763474,0.01108217059742012
35,8822,53,184,53,184,DepthHigh,DepthMid,DepthHigh--DepthMid,9,0.23344740818924384,0.0002707120041610976,0.011029118983015602
36,8931,54,157,54,157,DepthLow,DepthMid,DepthLow--DepthMid,7,0.20267076884615443,0.0002685715292724039,0.010941913569643863
37,6798,39,169,39,169,DepthMid,DepthLow,DepthLow--DepthMid,6,0.17641866594866298,0.00026760077281475484,0.010902363832985084
38,17931,169,187,169,187,DepthLow,DepthMid,DepthLow--DepthMid,10,0.3082312565817716,0.0002665379776767739,0.010859064334436112
39,8714,53,76,53,76,DepthHigh,DepthLow,DepthHigh--DepthLow,10,0.36436684630618676,0.000265903459834895,0.01083321334642169
40,8825,53,187,53,187,DepthHigh,DepthMid,DepthHigh--DepthMid,10,0.30252509036821007,0.00026454376599151783,0.01077781785250722
41,8961,54,187,54,187,DepthLow,DepthMid,DepthLow--DepthMid,5,0.1432829246739678,0.00026363417701923705,0.010740760149683838
42,8833,54,59,54,59,DepthLow,DepthMid,DepthLow--DepthMid,8,0.22417341825195608,0.00026345078520416344,0.010733288555820737
43,6711,39,82,39,82,DepthMid,DepthLow,DepthLow--DepthMid,6,0.17486519625994082,0.0002631193190153067,0.010719784241347959
44,2735,14,181,14,181,DepthHigh,DepthLow,DepthHigh--DepthLow,6,0.16263164100993507,0.00026265163076434205,0.010700730083100221
45,8850,54,76,54,76,DepthLow,DepthLow,DepthLow--DepthLow,9,0.2692952096381845,0.00026172749859622416,0.010663079873720739
46,12361,82,185,82,185,DepthLow,DepthMid,DepthLow--DepthMid,8,0.21035534099615905,0.000259525696869207,0.01057337593429059
47,18126,184,187,184,187,DepthMid,DepthMid,DepthMid--DepthMid,8,0.22212793497619077,0.00025917890732502874,0.01055924732866536
48,17928,169,184,169,184,DepthLow,DepthMid,DepthLow--DepthMid,8,0.22845375257518497,0.00025704769176912163,0.010472419151180606
49,6523,38,45,38,45,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.9342554445037331,0.0002569348268800862,0.010467820905550405
50,11700,76,187,76,187,DepthLow,DepthMid,DepthLow--DepthMid,10,0.3222328255484562,0.00025541004264920206,0.010405699439020094
51,17929,169,185,169,185,DepthLow,DepthMid,DepthLow--DepthMid,8,0.22225283900398204,0.00025460238931869164,0.010372794711699884
52,2718,14,164,14,164,DepthHigh,DepthMid,DepthHigh--DepthMid,10,0.27422634988315503,0.0002544839011441314,0.010367967366937856
53,8823,53,185,53,185,DepthHigh,DepthMid,DepthHigh--DepthMid,8,0.2062868006536748,0.00025447993877835204,0.010367805935590288
54,8956,54,182,54,182,DepthLow,DepthMid,DepthLow--DepthMid,6,0.1723080629005037,0.00025333632876733774,0.010321213945993333
55,11698,76,185,76,185,DepthLow,DepthMid,DepthLow--DepthMid,9,0.24815123886303916,0.0002526795795865567,0.01029445722761552
56,17611,157,185,157,185,DepthMid,DepthMid,DepthMid--DepthMid,4,0.1265690582731055,0.0002513876914164402,0.010241824214960175
57,17926,169,182,169,182,DepthLow,DepthMid,DepthLow--DepthMid,9,0.24601869335479812,0.00025072194136437233,0.010214700790714694
58,17610,157,184,157,184,DepthMid,DepthMid,DepthMid--DepthMid,4,0.1318034209281257,0.0002505814833640788,0.010208978369937106
59,12358,82,182,82,182,DepthLow,DepthMid,DepthLow--DepthMid,8,0.2134213594782374,0.0002501847218274113,0.010192813847756605
60,8959,54,185,54,185,DepthLow,DepthMid,DepthLow--DepthMid,6,0.17263293894229556,0.00024990104668524445,0.010181256595594192
61,8958,54,184,54,184,DepthLow,DepthMid,DepthLow--DepthMid,7,0.18247576323528752,0.00024989670823425715,0.010181079842101901
62,2037,11,14,11,14,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.8009083181555778,0.00024939216529121846,0.010160524181232486
63,18068,178,180,178,180,DepthLow,DepthLow,DepthLow--DepthLow,10,0.6382350913701408,0.00024812363333992076,0.010108842727844505
64,11695,76,182,76,182,DepthLow,DepthMid,DepthLow--DepthMid,9,0.24864340381820013,0.0002481114041717619,0.010108344497442402
